### 2016-02-09 14:00:50.959422009 +0100 CET Data Acquisition

### [Ard], localTime(us), sincroTime(us), sensorTime(us), distance(mm), accX(g), accY(g), accZ(g), gyrX(º/s), gyrY(º/s), gyrZ(º/s) 

[Ard], 2239918, 0, 1633817308, 95, 0.769287, -0.567383, -0.318604, 1.557252, 1.793893, 0.435115
[Ard], 2286883, 0, 1633856828, 94, 0.762695, -0.563965, -0.317383, 0.648855, 1.694656, 0.374046
[Ard], 2347688, 0, 1633896348, 95, 0.772461, -0.569092, -0.320557, 1.114504, 1.847328, 0.519084
[Ard], 2397708, 0, 1633935868, 94, 0.760010, -0.567139, -0.307373, 1.213740, 1.793893, 0.511450
[Ard], 2437853, 0, 1633975388, 94, 0.768555, -0.571533, -0.316162, 1.114504, 1.740458, 0.465649
[Ard], 2440405, 0, 1634014908, 95, 0.772705, -0.570312, -0.330322, 1.251908, 1.832061, 0.366412
[Ard], 2475798, 0, 1634054428, 94, 0.760742, -0.569580, -0.319580, 1.442748, 1.809160, 0.488550
[Ard], 2520440, 0, 1634093948, 95, 0.754883, -0.567627, -0.320801, 1.152672, 1.801527, 0.519084
[Ard], 2579318, 0, 1634133468, 94, 0.773193, -0.565674, -0.316162, 1.236641, 1.793893, 0.366412
[Ard], 2668006, 0, 1634172988, 94, 0.769287, -0.563965, -0.320068, 1.206107, 1.702290, 0.557252
[Ard], 2687842, 0, 1634212508, 95, 0.764648, -0.573242, -0.317383, 1.282443, 2.000000, 0.534351
[Ard], 2711748, 0, 1634252028, 94, 0.766357, -0.569824, -0.324219, 1.015267, 1.541985, 0.404580
[Ard], 2727473, 0, 1634291548, 95, 0.771973, -0.565674, -0.321289, 1.312977, 1.732824, 0.496183
[Ard], 2758818, 0, 1634331068, 94, 0.767334, -0.571777, -0.324219, 1.206107, 1.748092, 0.412214
[Ard], 2798300, 0, 1634370588, 94, 0.765869, -0.569336, -0.324463, 1.167939, 1.763359, 0.251908
[Ard], 2818330, 0, 1634410108, 95, 0.767578, -0.565430, -0.316650, 1.190840, 1.832061, 0.374046
[Ard], 2852528, 0, 1634449628, 94, 0.765625, -0.568359, -0.327637, 1.274809, 1.885496, 0.534351
[Ard], 2909860, 0, 1634489148, 95, 0.765137, -0.568604, -0.319824, 1.076336, 1.572519, 0.427481
[Ard], 2951251, 0, 1634528668, 94, 0.768555, -0.572510, -0.323730, 1.106870, 1.633588, 0.274809
[Ard], 2999065, 0, 1634568188, 94, 0.766357, -0.568604, -0.319824, 1.045802, 1.763359, 0.366412
[Ard], 3035772, 0, 1634607708, 95, 0.763672, -0.571045, -0.327393, 1.312977, 1.671756, 0.557252
[Ard], 3051649, 0, 1634647228, 94, 0.763672, -0.568115, -0.315186, 1.183206, 1.717557, 0.381679
