[A] 1.837643724s (52.998µs) -> 1
[A] 2.232374851s (141.878732ms) -> 0
[C] 2.35276323s (22.999µs) -> 1
[C] 2.637718659s (50.999µs) -> 0
[A] 3.447582299s (233.005992ms) -> 1
[A] 3.461031894s (22.999µs) -> 0
[B] 3.548874252s (202.689903ms) -> 1
[B] 3.57552245s (519.984µs) -> 0
[C] 3.599570727s (202.760901ms) -> 1
[C] 3.802045637s (182.393514ms) -> 0
[D] 3.862798809s (182.410513ms) -> 1
[C] 4.055207022s (192.586207ms) -> 1
[D] 4.085610107s (192.599207ms) -> 0
[B] 4.166598671s (49.998µs) -> 1
[B] 4.241633414s (22.999µs) -> 0
[C] 4.304041537s (91.997µs) -> 0
[A] 4.3917069s (255.66031ms) -> 1
[B] 4.560908811s (22µs) -> 1
[C] 4.635195576s (204.994µs) -> 1
[A] 4.685436065s (192.560208ms) -> 0
[B] 4.736694523s (132.516014ms) -> 0
[D] 4.83854146s (23µs) -> 1
[C] 4.969581518s (162.178122ms) -> 0
[C] 5.16200173s (48.998µs) -> 1
[D] 5.212638207s (172.303817ms) -> 0
[C] 5.364492639s (42.998µs) -> 0
