[D] 4.651839691s (334.636907ms) -> 1
[D] 4.692705459s (23µs) -> 0
[B] 4.804983072s (21.999µs) -> 1
[C] 4.814081798s (365.133987ms) -> 1
[C] 4.840454002s (22.999µs) -> 0
[A] 4.966345205s (50.998µs) -> 1
[A] 5.066931171s (22.999µs) -> 0
[B] 5.199876161s (386.006357ms) -> 0
[A] 5.36205727s (49.999µs) -> 1
[A] 5.544538766s (344.842599ms) -> 1
[A] 5.559552313s (25.999µs) -> 0
[B] 5.62563832s (395.526071ms) -> 1
[C] 5.659831288s (22.999µs) -> 1
[C] 5.716944566s (355.078291ms) -> 1
[A] 5.747388647s (284.164429ms) -> 0
[B] 5.970497918s (314.516514ms) -> 0
[C] 6.000934s (304.435818ms) -> 0
[D] 6.051622471s (334.8639ms) -> 1
[C] 6.082069553s (334.8679ms) -> 0
[D] 6.223958273s (50.998µs) -> 1
[C] 6.406355772s (50.999µs) -> 1
[C] 6.420369349s (21.999µs) -> 0
[D] 6.436833852s (50.998µs) -> 0
[B] 6.507787712s (284.021433ms) -> 1
[D] 6.538333791s (243.519655ms) -> 0
[A] 6.558617179s (213.247568ms) -> 1
[A] 6.812056535s (304.449817ms) -> 1
[A] 6.871636738s (23.999µs) -> 0
[A] 7.004977716s (416.162448ms) -> 0
[C] 7.075906577s (264.026037ms) -> 1
[C] 7.167156825s (39.999µs) -> 1
[C] 7.169685748s (23.999µs) -> 0
[D] 7.197589907s (49.999µs) -> 1
[B] 7.298905851s (385.333378ms) -> 0
[C] 7.481453345s (49.999µs) -> 0
[B] 7.680973327s (24.999µs) -> 1
[A] 7.816052253s (355.049291ms) -> 1
[D] 8.01870714s (47.998µs) -> 0
[B] 8.109992387s (48.998µs) -> 0
[A] 8.221565022s (375.32568ms) -> 0
