[A] 1.666261156s (202.704936ms) -> 1
[A] 1.694725305s (23.999µs) -> 0
[B] 1.777680823s (263.385121ms) -> 1
[B] 1.957836434s (24.999µs) -> 0
[C] 2.040949948s (192.56424ms) -> 1
[C] 2.213109798s (49.999µs) -> 0
[D] 2.253646585s (121.617362ms) -> 1
[C] 2.567842187s (121.866355ms) -> 1
[D] 2.608425973s (51.999µs) -> 0
[C] 2.810917915s (202.669937ms) -> 0
[B] 2.871706097s (172.330845ms) -> 1
[A] 2.952744673s (48.999µs) -> 1
[B] 3.054003644s (131.825057ms) -> 0
[A] 3.185601707s (182.406544ms) -> 0
[A] 3.373898074s (22.999µs) -> 1
[A] 3.610881985s (50.998µs) -> 0
[B] 3.712163956s (202.59794ms) -> 1
[B] 3.726333532s (33.999µs) -> 0
[C] 3.864017413s (182.432543ms) -> 1
[D] 3.884314806s (51.999µs) -> 1
[C] 4.117381834s (233.248023ms) -> 0
[C] 4.329980474s (172.13785ms) -> 1
[D] 4.350284867s (87.997µs) -> 0
[B] 4.421126748s (192.54624ms) -> 1
[A] 4.503707278s (22µs) -> 1
[C] 4.522435717s (172.265847ms) -> 0
[B] 4.593362596s (141.919755ms) -> 0
[A] 4.714874961s (192.643238ms) -> 0
