[A] 4.150628724s (43.998µs) -> 1
[A] 4.383457753s (172.270842ms) -> 0
[B] 4.403754145s (51.998µs) -> 1
[C] 4.469184186s (24.999µs) -> 1
[B] 4.596260381s (131.819053ms) -> 0
[C] 4.68748265s (202.859926ms) -> 0
[D] 4.74825183s (233.203017ms) -> 1
[C] 5.10261622s (192.520235ms) -> 1
[D] 5.143178006s (162.233143ms) -> 0
[C] 5.274785065s (131.812053ms) -> 0
[A] 5.457668589s (25.999µs) -> 1
[A] 5.660756509s (24µs) -> 0
[A] 5.858359592s (23.999µs) -> 1
[A] 6.115531892s (50.998µs) -> 0
[B] 6.156051679s (131.745055ms) -> 1
[C] 6.186438769s (141.992748ms) -> 1
[B] 6.328189525s (141.915751ms) -> 0
[C] 6.348431919s (131.763055ms) -> 0
[D] 6.399133401s (52.999µs) -> 1
[C] 6.71543993s (25.999µs) -> 1
[D] 6.734569357s (24.999µs) -> 0
[B] 6.8834289s (23.999µs) -> 1
[C] 6.915655935s (50.998µs) -> 0
[B] 7.054024792s (22.999µs) -> 0
[A] 7.209325142s (172.33484ms) -> 1
[A] 7.242088161s (24.999µs) -> 0
