[A] 1.54498649s (172.525807ms) -> 1
[A] 1.697021913s (131.911029ms) -> 0
[A] 1.960485982s (192.726199ms) -> 1
[B] 2.011197455s (91.420248ms) -> 1
[A] 2.051768234s (46.999µs) -> 0
[C] 2.143022486s (132.008026ms) -> 1
[B] 2.214127346s (182.815497ms) -> 0
[D] 2.295309902s (243.725663ms) -> 1
[C] 2.406797546s (192.953192ms) -> 0
[D] 2.467617715s (152.204418ms) -> 0
[D] 2.639910528s (47.998µs) -> 1
[C] 2.710856392s (141.943726ms) -> 1
[D] 2.771692561s (49.998µs) -> 0
[C] 2.858851937s (21.999µs) -> 0
[B] 2.883226203s (111.732636ms) -> 1
[A] 2.940373483s (21.999µs) -> 1
[B] 3.035552618s (49.999µs) -> 0
[A] 3.367815615s (21.999µs) -> 0
[C] 3.410593328s (142.090723ms) -> 1
[B] 3.44107641s (41.999µs) -> 1
[B] 3.466366649s (22µs) -> 0
[D] 3.542444358s (50.998µs) -> 1
[C] 3.643822307s (51.999µs) -> 0
[C] 4.018802018s (172.469808ms) -> 1
[C] 4.127600743s (21.999µs) -> 0
[B] 4.130339661s (213.080586ms) -> 1
[A] 4.170917439s (202.97689ms) -> 1
[D] 4.251983999s (233.353976ms) -> 0
[B] 4.292576777s (121.860332ms) -> 0
[A] 4.341997289s (22µs) -> 0
